 Output of initial values
 ISTEP=           0 DPDXB=  0.000000000000000E+000 DPREF=
  0.000000000000000E+000
 FAC=   1.33038289509454     


           Y/Y.5      U       DUDY          TK          TP12        TP11        TP22      TP33         Y+         U+       XMUL     XMULM
  75    9.776E-01  6.101E-03 -2.135E-02  3.937E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.574E+01  0.000E+00  1.000E-03  1.111E-03
  76    9.804E-01  5.937E-03 -2.430E-02  3.459E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.383E+01  0.000E+00  1.000E-03  1.111E-03
  77    9.828E-01  5.771E-03 -2.769E-02  3.035E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.214E+01  0.000E+00  1.000E-03  1.111E-03
  78    9.849E-01  5.539E-03 -1.378E-01  2.661E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.064E+01  0.000E+00  1.000E-03  1.111E-03
  79    9.868E-01  4.848E-03 -1.378E-01  2.329E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.314E+00  0.000E+00  1.000E-03  1.111E-03
  80    9.884E-01  4.238E-03 -1.378E-01  2.036E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.141E+00  0.000E+00  1.000E-03  1.111E-03
  81    9.899E-01  3.697E-03 -1.378E-01  1.776E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.103E+00  0.000E+00  1.000E-03  1.111E-03
  82    9.912E-01  3.219E-03 -1.378E-01  1.546E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.184E+00  0.000E+00  1.000E-03  1.111E-03
  83    9.924E-01  2.796E-03 -1.378E-01  1.343E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.370E+00  0.000E+00  1.000E-03  1.111E-03
  84    9.934E-01  2.421E-03 -1.378E-01  1.163E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.651E+00  0.000E+00  1.000E-03  1.111E-03
  85    9.943E-01  2.089E-03 -1.378E-01  1.004E-07  0.000E+00  0.000E+00  0.000E+00  0.000E+00  4.014E+00  0.000E+00  1.000E-03  1.111E-03
  86    9.951E-01  1.796E-03 -1.378E-01  8.627E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.450E+00  0.000E+00  1.000E-03  1.111E-03
  87    9.958E-01  1.536E-03 -1.378E-01  7.380E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.952E+00  0.000E+00  1.000E-03  1.111E-03
  88    9.964E-01  1.307E-03 -1.378E-01  6.277E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.510E+00  0.000E+00  1.000E-03  1.111E-03
  89    9.970E-01  1.103E-03 -1.378E-01  5.300E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.120E+00  0.000E+00  1.000E-03  1.111E-03
  90    9.975E-01  9.234E-04 -1.378E-01  4.436E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.774E+00  0.000E+00  1.000E-03  1.111E-03
  91    9.979E-01  7.641E-04 -1.378E-01  3.671E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.468E+00  0.000E+00  1.000E-03  1.111E-03
  92    9.983E-01  6.232E-04 -1.378E-01  2.994E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.197E+00  0.000E+00  1.000E-03  1.111E-03
  93    9.986E-01  4.985E-04 -1.378E-01  2.395E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  9.577E-01  0.000E+00  1.000E-03  1.111E-03
  94    9.989E-01  3.882E-04 -1.378E-01  1.865E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  7.457E-01  0.000E+00  1.000E-03  1.111E-03
  95    9.992E-01  2.905E-04 -1.378E-01  1.395E-08  0.000E+00  0.000E+00  0.000E+00  0.000E+00  5.581E-01  0.000E+00  1.000E-03  1.111E-03
  96    9.994E-01  2.041E-04 -1.378E-01  9.803E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.920E-01  0.000E+00  1.000E-03  1.111E-03
  97    9.997E-01  1.276E-04 -1.378E-01  6.129E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.451E-01  0.000E+00  1.000E-03  1.111E-03
  98    9.998E-01  5.990E-05 -1.378E-01  2.877E-09  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.151E-01  0.000E+00  1.000E-03  1.111E-03
  99    1.000E+00  0.000E+00 -1.378E-01  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E-03  1.111E-03
 


             C11       C22      C33          C12         C31        fCmm      CU112     CU122      CU222      CU332       UC22      VC22
   1    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   2    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   3    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   4    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   5    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   6    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   7    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   8    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   9    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  10    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  11    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  12    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  13    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  14    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  15    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  16    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  17    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  18    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  19    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  20    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  21    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  22    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  23    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  24    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  25    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  26    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  27    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  28    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  29    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  30    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  31    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  32    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  33    0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
